step,homeostasis,conflict_rate,food_concentration,nutrition_gap,social_resonance,source
5000,0.5714328289031982,1.0,0.16344834864139557,0.0,0.17878411710262299,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000005000.json
10000,0.5714285969734192,1.0,0.16529732942581177,0.0,0.16079914569854736,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000010000.json
15000,0.5714285969734192,1.0,0.1661282479763031,0.0,0.1702767163515091,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000015000.json
20000,0.5714285969734192,0.9916667342185974,0.165792778134346,0.0,0.14578086137771606,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000020000.json
25000,0.5714285969734192,0.98333340883255,0.16445274651050568,0.0,0.14677751064300537,3_3e287002044849e3b03330d174fa58ee_artifacts_day_reports_day_block_000025000.json
30000,0.5714285969734192,0.9666666984558105,0.162342831492424,0.0,0.16610664129257202,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000030000.json
35000,0.5714285969734192,0.9500000476837158,0.15991993248462677,0.0,0.1868187040090561,3_e47eb8eab4ec4eaf8651b868a3e90f98_artifacts_day_reports_day_block_000035000.json
40000,0.5714285969734192,0.9083333611488342,0.15738920867443085,0.0,0.16888375580310822,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000040000.json
45000,0.5714285969734192,0.9083333611488342,0.15552939474582672,0.0,0.18179617822170258,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000045000.json
50000,0.5714285969734192,0.9000000357627869,0.1536671221256256,0.0,0.2007761001586914,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000050000.json
55000,0.5714285969734192,0.8833333849906921,0.15262293815612793,0.0,0.21936282515525818,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000055000.json
60000,0.5714285969734192,0.7666667103767395,0.15253587067127228,0.0,0.1872406303882599,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000060000.json
65000,0.5714285969734192,0.7416667342185974,0.15242516994476318,0.0,0.20202763378620148,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000065000.json
70000,0.5714285969734192,0.7250000238418579,0.15255992114543915,0.0,0.21143554151058197,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000070000.json
75000,0.5714285969734192,0.7500000596046448,0.15313959121704102,0.0,0.1911744475364685,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000075000.json
80000,0.5714285969734192,0.6916667222976685,0.15355239808559418,0.0,0.20077365636825562,3_e47eb8eab4ec4eaf8651b868a3e90f98_artifacts_day_reports_day_block_000080000.json
85000,0.5714285969734192,0.7500000596046448,0.15442503988742828,0.0,0.19871728122234344,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000085000.json
90000,0.5714285969734192,0.6666666865348816,0.15521331131458282,0.0,0.2031378298997879,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000090000.json
95000,0.5714285969734192,0.6583333611488342,0.15590955317020416,0.0,0.16912050545215607,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000095000.json
100000,0.5714285969734192,0.6583333611488342,0.15667861700057983,0.0,0.16187803447246552,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000100000.json
105000,0.5714285969734192,0.6583333611488342,0.15721066296100616,0.0,0.17456024885177612,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000105000.json
110000,0.5714285969734192,0.7583333849906921,0.15765869617462158,0.0,0.18694326281547546,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000110000.json
115000,0.5714285969734192,0.7583333849906921,0.15824323892593384,0.0,0.15499356389045715,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000115000.json
120000,0.5714285969734192,0.7666667103767395,0.15854673087596893,0.0,0.16344177722930908,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000120000.json
125000,0.5714285969734192,0.8250000476837158,0.15878082811832428,0.0,0.17248913645744324,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000125000.json
130000,0.5714285969734192,0.8666667342185974,0.15882481634616852,0.0,0.15148991346359253,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000130000.json
135000,0.5714285969734192,0.8166667222976685,0.15876144170761108,0.0,0.1555001139640808,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000135000.json
140000,0.5714285969734192,0.8583333492279053,0.15853653848171234,0.0,0.16729336977005005,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000140000.json
145000,0.5714285969734192,0.8500000238418579,0.15848161280155182,0.0,0.18113741278648376,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000145000.json
150000,0.5714285969734192,0.7750000357627869,0.15850470960140228,0.0,0.15207532048225403,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000150000.json
155000,0.5714285969734192,0.7666667103767395,0.1584671288728714,0.0,0.16560965776443481,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000155000.json
160000,0.5714285969734192,0.7666667103767395,0.1588200032711029,0.0,0.17763108015060425,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000160000.json
165000,0.5714285969734192,0.7500000596046448,0.15927210450172424,0.0,0.19210582971572876,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000165000.json
170000,0.5714285969734192,0.7416667342185974,0.15987549722194672,0.0,0.15984392166137695,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000170000.json
175000,0.5714285969734192,0.6833333969116211,0.16066515445709229,0.0,0.16529574990272522,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000175000.json
180000,0.5714285969734192,0.6833333969116211,0.16139662265777588,0.0,0.1734617054462433,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000180000.json
185000,0.5714285969734192,0.675000011920929,0.1620548814535141,0.0,0.1416255533695221,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000185000.json
190000,0.5714285969734192,0.675000011920929,0.1629207730293274,0.0,0.14126764237880707,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000190000.json
195000,0.5714285969734192,0.6833333969116211,0.1635672152042389,0.0,0.15015780925750732,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000195000.json
200000,0.5714285969734192,0.7083333730697632,0.16420377790927887,0.0,0.1527765989303589,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000200000.json
205000,0.5714285969734192,0.7750000357627869,0.16454702615737915,0.0,0.12701311707496643,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000205000.json
210000,0.5714285969734192,0.7416667342185974,0.16460183262825012,0.0,0.1325480341911316,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000210000.json
215000,0.5714285969734192,0.6916667222976685,0.1645708531141281,0.0,0.14631283283233643,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000215000.json
220000,0.5714285969734192,0.6833333969116211,0.16453245282173157,0.0,0.15673531591892242,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000220000.json
225000,0.5714285969734192,0.7750000357627869,0.16408663988113403,0.0,0.1299966275691986,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000225000.json
230000,0.5714285969734192,0.7916666865348816,0.16383709013462067,0.0,0.14604949951171875,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000230000.json
235000,0.5714285969734192,0.7916666865348816,0.16368849575519562,0.0,0.15879487991333008,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000235000.json
240000,0.5714285969734192,0.7916666865348816,0.163621187210083,0.0,0.13814738392829895,3_16175befdc7f48b28a58348de2f1d87e_artifacts_day_reports_day_block_000240000.json
